run_id,seed,profile,scenario,model,identity_continuity,lure_capture,recovery_latency_s,selection_switches
350_wheeled_robot_matched_adversarial_identity,350,wheeled_robot,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
350_wheeled_robot_matched_adversarial_identity,350,wheeled_robot,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
351_drone_matched_adversarial_identity,351,drone,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,8
351_drone_matched_adversarial_identity,351,drone,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
351_ground_creature_matched_adversarial_identity,351,ground_creature,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
351_ground_creature_matched_adversarial_identity,351,ground_creature,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
351_virtual_avatar_matched_adversarial_identity,351,virtual_avatar,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
351_virtual_avatar_matched_adversarial_identity,351,virtual_avatar,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
351_wheeled_robot_matched_adversarial_identity,351,wheeled_robot,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
351_wheeled_robot_matched_adversarial_identity,351,wheeled_robot,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
352_drone_matched_adversarial_identity,352,drone,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,6
352_drone_matched_adversarial_identity,352,drone,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
352_ground_creature_matched_adversarial_identity,352,ground_creature,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
352_ground_creature_matched_adversarial_identity,352,ground_creature,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
352_virtual_avatar_matched_adversarial_identity,352,virtual_avatar,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
352_virtual_avatar_matched_adversarial_identity,352,virtual_avatar,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
352_wheeled_robot_matched_adversarial_identity,352,wheeled_robot,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
352_wheeled_robot_matched_adversarial_identity,352,wheeled_robot,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
353_drone_matched_adversarial_identity,353,drone,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,2
353_drone_matched_adversarial_identity,353,drone,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
353_ground_creature_matched_adversarial_identity,353,ground_creature,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
353_ground_creature_matched_adversarial_identity,353,ground_creature,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
353_virtual_avatar_matched_adversarial_identity,353,virtual_avatar,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
353_virtual_avatar_matched_adversarial_identity,353,virtual_avatar,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
353_wheeled_robot_matched_adversarial_identity,353,wheeled_robot,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,2
