protocol_version,profile,condition,seed,schedule,training_transition_count,matched_change_point_events,sham_change_point_events,training_transition_retention,training_transition_lure_error,training_transition_recovery_latency,training_transition_identity_switches,stage_identity_chain_score,final_identity_retention,final_identity_recovered,final_identity_recovery_latency,final_old_signature_clone_capture,final_identity_switches,final_self_role_accuracy,final_self_posterior,final_clone_self_posterior,final_self_posterior_margin,final_identity_fragmentation,whole_run_self_fragmentation,initial_identity_retained_at_end,self_role_accuracy_all_stages,identity_continuity_score_v2,identity_continuity_score_legacy
7.0-p2,ground_creature,reverse_curriculum,263,2-1-0-3,3,4,0,0.52380952380952,0.13333333333333,2.4,5.0,1.0,0.19444444444444,0.0,7.2,0.0,14,1.0,0.94830357376481,0.61166303089076,0.33664054287405,2,4,0.0,0.98809523809524,0.49685519847822,0.34722222222222
7.0-p2,ground_creature,random_curriculum,263,2-0-1-3,3,4,0,0.68253968253968,0.13333333333333,1.6,3.33333333333333,1.0,0.19444444444444,0.0,7.2,0.16666666666667,14,1.0,0.94590528459968,0.56691885130779,0.37898643329189,2,3,0.0,0.99404761904762,0.46860337199503,0.30555555555556
7.0-p2,ground_creature,progressive_history_reset,263,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.19444444444444,0.0,7.2,0.16666666666667,14,1.0,0.94394166436636,0.56774448935142,0.37619717501494,2,5,0.0,0.98214285714286,0.46826866100179,0.30555555555556
7.0-p2,ground_creature,progressive_no_persistent_self,263,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,1.0,0.95399064746315,0.62094410402485,0.3330465434383,1,3,1.0,0.98809523809524,0.2599655852126,0.0
7.0-p2,wheeled_robot,progressive_persistent,263,0-1-2-3,3,4,0,0.71428571428571,0.4,1.33333333333333,2.33333333333333,1.0,0.19444444444444,0.0,7.2,0.0,14,1.0,0.94234760115946,0.6136230281607,0.32872457299876,2,4,0.0,0.98809523809524,0.49590528209318,0.34722222222222
7.0-p2,wheeled_robot,final_from_start,263,3-3-3-3,3,4,3,0.71428571428571,0.4,1.33333333333333,2.33333333333333,1.0,0.19444444444444,0.0,7.2,0.0,14,1.0,0.94178631460594,0.61343925386355,0.32834706074239,2,4,0.0,0.98809523809524,0.49585998062242,0.34722222222222
7.0-p2,wheeled_robot,reverse_curriculum,263,2-1-0-3,3,4,0,0.77777777777778,0.26666666666667,1.06666666666667,2.0,1.0,0.19444444444444,0.0,7.2,0.0,14,1.0,0.94171470617296,0.61338566050078,0.32832904567218,2,4,0.0,0.99404761904762,0.495857818814,0.34722222222222
7.0-p2,wheeled_robot,random_curriculum,263,2-0-1-3,3,4,0,0.71428571428571,0.4,1.33333333333333,2.33333333333333,1.0,0.19444444444444,0.0,7.2,0.0,14,1.0,0.94223716791927,0.61326406722454,0.32897310069474,2,4,0.0,0.98809523809524,0.4959351054167,0.34722222222222
7.0-p2,wheeled_robot,progressive_history_reset,263,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.19444444444444,0.0,7.2,0.16666666666667,14,1.0,0.94408704118655,0.5669299322351,0.37715710895145,2,5,0.0,0.98214285714286,0.46838385307417,0.30555555555556
7.0-p2,wheeled_robot,progressive_no_persistent_self,263,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,1.0,0.95380034560328,0.62051263287717,0.33328771272611,1,3,0.0,0.98809523809524,0.25999452552713,0.0
7.0-p2,drone,progressive_persistent,263,0-1-2-3,3,4,0,0.61904761904762,0.26666666666667,1.86666666666667,3.66666666666667,1.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.9570457437314,0.61835218177002,0.33869356196138,2,4,1.0,0.98809523809524,0.79233792766074,0.8406471010466
7.0-p2,drone,final_from_start,263,3-3-3-3,3,4,3,0.61904761904762,0.26666666666667,1.86666666666667,3.66666666666667,1.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.9575526731364,0.61808210471633,0.33947056842007,2,4,1.0,0.98214285714286,0.79243116843579,0.8406471010466
7.0-p2,drone,reverse_curriculum,263,2-1-0-3,3,4,0,0.77777777777778,0.26666666666667,1.06666666666667,2.0,1.0,0.88888888888889,1.0,0.8,0.16666666666667,1,0.98611111111111,0.91806541386869,0.60562972774249,0.3124356861262,2,3,1.0,0.99404761904762,0.78918698256052,0.8406471010466
7.0-p2,drone,random_curriculum,263,2-0-1-3,3,4,0,0.77777777777778,0.26666666666667,1.06666666666667,2.0,1.0,0.88888888888889,1.0,0.8,0.16666666666667,1,0.98611111111111,0.91782812531172,0.60538027094623,0.31244785436549,2,3,1.0,0.99404761904762,0.78918844274924,0.8406471010466
7.0-p2,drone,progressive_history_reset,263,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.88888888888889,1.0,0.8,0.16666666666667,1,0.98611111111111,0.91760568060689,0.60518040537836,0.31242527522853,2,5,0.0,0.98214285714286,0.7891857332528,0.8406471010466
7.0-p2,drone,progressive_no_persistent_self,263,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,0.98611111111111,0.90858058686799,0.61889420202449,0.2896863848435,1,4,0.0,0.98809523809524,0.25476236618122,0.0
7.0-p2,virtual_avatar,progressive_persistent,263,0-1-2-3,3,4,0,0.61904761904762,0.26666666666667,1.86666666666667,3.66666666666667,1.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95835865227898,0.61880772626892,0.33955092601005,2,3,1.0,0.99404761904762,0.79244081134659,0.8406471010466
7.0-p2,virtual_avatar,final_from_start,263,3-3-3-3,3,4,3,0.61904761904762,0.26666666666667,1.86666666666667,3.66666666666667,1.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.9583779788339,0.61935858346673,0.33901939536716,2,3,1.0,0.99404761904762,0.79237702766944,0.8406471010466
7.0-p2,virtual_avatar,reverse_curriculum,263,2-1-0-3,3,4,0,0.68253968253968,0.13333333333333,1.6,3.33333333333333,1.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95875507115408,0.61936472035768,0.33939035079641,2,3,1.0,1.0,0.79242154232095,0.8406471010466
7.0-p2,virtual_avatar,random_curriculum,263,2-0-1-3,3,4,0,0.61904761904762,0.26666666666667,1.86666666666667,3.66666666666667,1.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95834679092208,0.61859733225495,0.33974945866713,2,3,1.0,0.99404761904762,0.79246463526543,0.8406471010466
7.0-p2,virtual_avatar,progressive_history_reset,263,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95383623731699,0.61589190657783,0.33794433073916,2,5,0.0,0.98214285714286,0.79224801991408,0.8406471010466
7.0-p2,virtual_avatar,progressive_no_persistent_self,263,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,1.0,0.95390316396741,0.62158684577968,0.33231631818773,1,2,1.0,0.99404761904762,0.25987795818253,0.0
7.0-p2,ground_creature,progressive_persistent,264,0-1-2-3,3,4,0,0.71428571428571,0.4,1.33333333333333,2.33333333333333,1.0,0.19444444444444,0.0,7.2,0.0,14,1.0,0.94201171069694,0.61333051557871,0.32868119511823,2,4,0.0,0.98809523809524,0.49590007674752,0.34722222222222
7.0-p2,ground_creature,final_from_start,264,3-3-3-3,3,4,3,0.77777777777778,0.26666666666667,1.06666666666667,2.0,1.0,0.19444444444444,0.0,7.2,0.0,14,1.0,0.94267510101567,0.61317778671111,0.32949731430456,2,4,0.0,0.99404761904762,0.49599801104988,0.34722222222222
7.0-p2,ground_creature,reverse_curriculum,264,2-1-0-3,3,4,0,0.77777777777778,0.26666666666667,1.06666666666667,2.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0.96254978248975,0.61343667150595,0.3491131109838,1,3,1.0,0.99404761904762,0.92189357331806,1.0
7.0-p2,ground_creature,random_curriculum,264,0-2-1-3,3,4,0,0.71428571428571,0.4,1.33333333333333,2.33333333333333,1.0,0.19444444444444,0.0,7.2,0.0,14,1.0,0.94154451508518,0.61342938773231,0.32811512735287,2,4,0.0,0.98809523809524,0.49583214861568,0.34722222222222
7.0-p2,ground_creature,progressive_history_reset,264,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.9536908844233,0.61629580407534,0.33739508034796,2,5,0.0,0.98214285714286,0.79218210986713,0.8406471010466
7.0-p2,ground_creature,progressive_no_persistent_self,264,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,1.0,0.95430169681634,0.62094542253719,0.33335627427915,1,3,0.0,0.98809523809524,0.2600027529135,0.0
7.0-p2,wheeled_robot,progressive_persistent,264,0-1-2-3,3,4,0,0.71428571428571,0.4,1.33333333333333,2.33333333333333,1.0,0.19444444444444,0.0,7.2,0.0,14,1.0,0.94194729194173,0.61368460516099,0.32826268678074,2,4,0.0,0.98809523809524,0.49584985574702,0.34722222222222
7.0-p2,wheeled_robot,final_from_start,264,3-3-3-3,3,4,3,0.71428571428571,0.4,1.33333333333333,2.33333333333333,1.0,0.19444444444444,0.0,7.2,0.0,14,1.0,0.94232353966803,0.61406689879678,0.32825664087125,2,4,0.0,0.98214285714286,0.49584913023788,0.34722222222222
7.0-p2,wheeled_robot,reverse_curriculum,264,2-1-0-3,3,4,0,0.84126984126984,0.13333333333333,0.8,1.66666666666667,1.0,1.0,1.0,0.0,0.0,0,1.0,0.96173587056437,0.6137231546328,0.34801271593156,1,2,1.0,1.0,0.92176152591179,1.0
7.0-p2,wheeled_robot,random_curriculum,264,0-2-1-3,3,4,0,0.71428571428571,0.4,1.33333333333333,2.33333333333333,1.0,0.19444444444444,0.0,7.2,0.0,14,1.0,0.94263412077401,0.61310691253972,0.32952720823429,2,4,0.0,0.98809523809524,0.49600159832145,0.34722222222222
7.0-p2,wheeled_robot,progressive_history_reset,264,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95358817239753,0.61615260226495,0.33743557013258,2,5,0.0,0.98214285714286,0.79218696864129,0.8406471010466
