protocol_version,profile,condition,seed,schedule,training_transition_count,training_transition_retention,training_transition_lure_error,training_transition_recovery_latency,stage_identity_chain_score,final_identity_retention,final_identity_recovered,final_identity_recovery_latency,final_old_signature_clone_capture,final_self_role_accuracy,final_self_posterior,final_clone_self_posterior,final_self_posterior_margin,final_identity_fragmentation,whole_run_self_fragmentation,initial_identity_retained_at_end,self_role_accuracy_all_stages,identity_continuity_score
7.0-p1,drone,final_from_start,260,3-3-3-3,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.99284630552198,0.05551475421198,0.93733155131,1,4,0.0,1.0,1.0
7.0-p1,drone,reverse_curriculum,260,3-2-1-0,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.99321377618652,0.04014636056149,0.95306741562503,1,1,1.0,1.0,1.0
7.0-p1,drone,random_curriculum,260,3-1-0-2,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.99298754564728,0.04010009001154,0.95288745563573,1,1,1.0,1.0,1.0
7.0-p1,drone,progressive_history_reset,260,0-1-2-3,3,0.0,0.33333333333333,4.8,0.0,1.0,1.0,0.0,0.0,1.0,0.9573155793586,0.05547039485926,0.90184518449934,1,3,0.0,1.0,1.0
7.0-p1,drone,progressive_no_persistent_self,260,0-1-2-3,3,0.0,1.0,4.8,0.0,0.0,0.0,6.4,1.0,0.984375,0.95363502596651,0.1760579520034,0.77757707396311,1,4,0.0,1.0,0.0
7.0-p1,virtual_avatar,progressive_persistent,260,0-1-2-3,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.99489176495726,0.05554597985811,0.93934578509914,1,1,1.0,1.0,1.0
7.0-p1,virtual_avatar,final_from_start,260,3-3-3-3,0,1.0,0.0,0.0,0.0,0.0,0.0,6.4,1.0,1.0,0.99490247034544,0.1818564461283,0.81304602421713,1,2,1.0,1.0,0.0
7.0-p1,virtual_avatar,reverse_curriculum,260,3-2-1-0,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.99503121833205,0.05544897793158,0.93958224040048,1,1,1.0,1.0,1.0
7.0-p1,virtual_avatar,random_curriculum,260,3-1-0-2,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.9949692054931,0.05557924257911,0.93938996291399,1,1,1.0,1.0,1.0
7.0-p1,virtual_avatar,progressive_history_reset,260,0-1-2-3,3,0.66666666666667,0.0,1.6,0.66666666666667,1.0,1.0,0.0,0.0,1.0,0.96195835532277,0.05533263134956,0.90662572397321,1,2,0.0,1.0,1.0
7.0-p1,virtual_avatar,progressive_no_persistent_self,260,0-1-2-3,3,0.0,1.0,4.8,0.0,0.0,0.0,6.4,1.0,1.0,0.96201519544522,0.18146910974852,0.7805460856967,1,3,0.0,0.98958333333333,0.0
